,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
85,1274,Waves,WAVES,waves,203,2016-06-02T00:00:00.000Z,"['lpos', 'platform', 'smart-contracts']",,109550818.0,109550818.0,,86,,,,2022-10-10T14:32:00.000Z,3.707104229964706,44441428.391542,20.8737,-0.05071769,-1.28775788,-1.42478484,-24.41695687,-39.76546492,-22.46816443,406116300.8038937,0.0433,406116300.8,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
86,2634,XDC Network,XDC,xinfin,60,2018-04-12T00:00:00.000Z,['xdc-ecosystem'],,12305012698.75,37705012698.75,,87,,,,2022-10-10T14:32:00.000Z,0.03271504077169331,3427279.19883621,5.8149,-0.00845699,-0.17883196,5.38483499,25.08361582,-9.25054674,23.73840949,402558992.13581014,0.0429,1233521027.74,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
87,5964,Trust Wallet Token,TWT,trust-wallet-token,76,2020-07-30T00:00:00.000Z,"['polygon-ecosystem', 'bnb-chain']",1000000000.0,416649900.0,999668148.0,,88,416649900.0,393252117.2913848,,2022-10-10T14:32:00.000Z,0.9438430617441281,6014832.16591643,3.7138,0.16782119,0.47538089,4.67569558,-7.41953769,-18.4053438,22.84821198,393252117.2913848,0.0419,943843061.74,,2022-10-10T14:32:00.000Z,1839.0,BNB,BNB,bnb,0x4b0f1812e5df2a09796481ff14017e6005508003,2022-10-10 14:34:42.627507
88,18069,STEPN,GMT,green-metaverse-token,153,2022-03-09T12:47:15.000Z,"['collectibles-nfts', 'gaming', 'binance-smart-chain', 'binance-launchpad', 'solana-ecosystem', 'bnb-chain', 'move-to-earn']",6000000000.0,600000000.0,6000000000.0,,89,,,,2022-10-10T14:32:00.000Z,0.6449101517576687,285768210.23816717,212.7246,-0.0469948,-0.32386438,3.67205322,-13.60075529,-34.73119193,-24.57266356,386946091.05460125,0.0413,3869460910.55,,2022-10-10T14:32:00.000Z,1839.0,BNB,BNB,bnb,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1,2022-10-10 14:34:42.627507
89,9903,Convex Finance,CVX,convex-finance,119,2021-05-18T00:00:00.000Z,"['defi', 'yield-aggregator']",100000000.0,67683254.44943301,94591087.61161031,,90,2814665.0,15734594.080869602,0.09439516,2022-10-10T14:32:00.000Z,5.590219113418329,7142885.47976761,79.6279,0.10270171,0.42317225,15.85889654,1.00888608,-28.16538778,4.76305427,378364222.6815766,0.0403,559021911.34,4008301148.46187,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,2022-10-10 14:34:42.627507
90,1934,Loopring,LRC,loopring,232,2017-08-30T00:00:00.000Z,"['marketplace', 'decentralized-exchange', 'defi', 'zero-knowledge-proofs', 'scaling', 'smart-contracts', 'wallet', 'ethereum-ecosystem', 'amm', 'dex', 'layer-2', 'rollups', 'red-packets', 'web3', 'token', 'arbitrum-ecosytem']",1374513896.0,1330133545.5263836,1373873437.4424574,,91,,,2.81293073,2022-10-10T14:32:00.000Z,0.2842582161851252,25950660.88556956,27.1048,-0.0697889,-2.19529333,-2.87747997,-21.61754738,-40.75059528,-25.843328,378101388.9393258,0.0403,390716868.2,134415463.89638,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,2022-10-10 14:34:42.627507
91,1168,Decred,DCR,decred,59,2016-02-10T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'blake256', 'medium-of-exchange', 'store-of-value', 'privacy', 'dao', 'placeholder-ventures-portfolio']",21000000.0,14415012.77869464,14185885.35481751,,92,,,,2022-10-10T14:32:00.000Z,25.739624256042582,1882527.56810897,23.2403,-0.38889584,-1.14934436,-0.88361365,-14.89452782,-29.33279964,20.50540768,371037012.5696524,0.0396,540532109.38,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
92,5899,Casper,CSPR,casper,42,2020-07-21T00:00:00.000Z,"['enterprise-solutions', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'web3', 'okex-blockdream-ventures-portfolio']",,10412949436.0,11205737232.0,,93,,,,2022-10-10T14:32:00.000Z,0.0355997768522376,16519097.49219682,4.5316,0.34791109,0.17540943,22.02553221,27.47299915,-4.4777949,20.01589379,370698676.29523337,0.0395,398921744.92,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
93,873,NEM,XEM,nem,129,2015-04-01T00:00:00.000Z,"['poi', 'medium-of-exchange', 'payments', 'smart-contracts', 'fantom-ecosystem']",8999999999.0,8999999999.0,8999999999.0,,94,,,,2022-10-10T14:32:00.000Z,0.04058624092477074,8229671.25165646,33.0963,-0.47476886,-1.75652731,-1.78755189,-10.51523661,-24.04385961,4.87155991,365276168.2823504,0.0389,365276168.28,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
94,5567,Celo,CELO,celo,119,2020-05-22T00:00:00.000Z,"['pos', 'zero-knowledge-proofs', 'mobile', 'payments', 'smart-contracts', 'coinbase-ventures-portfolio', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'celo-ecosystem']",1000000000.0,467917103.0,1000000000.0,,95,,,,2022-10-10T14:32:00.000Z,0.7796767444295699,5327107.42383902,82.9435,-0.25148731,0.57549732,1.04663494,-11.61127369,-31.62444639,-7.61161871,364824083.52995574,0.0389,779676744.43,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
